track_id,Segment_id,radius,radius_std,pitch,helix_angle (degrees)
1,18,0.05548992,0.010418571,0.139145702,21.75667417
1,1,0.111734426,0.005624191,0.230859007,18.20274971
1,22,0.050817608,0.012560221,0.273727188,40.60589949
1,25,0.064078104,0.011646434,0.287745413,35.55308689
1,35,0.036149422,0.031350109,0.302567286,53.10489597
1,12,0.081681517,0.012863495,0.332657548,32.95038533
1,19,0.058436307,0.000224358,0.342710074,43.02687331
1,17,0.032932267,0.015695256,0.345671895,59.09521938
1,52,0.051343092,0.005292322,0.350454153,47.36997981
1,20,0.073119301,0.003307897,0.361260663,38.17928416
1,12,0.022172268,0.003366862,0.446568961,72.67407143
1,1,0.042018302,0.009763519,0.461925949,60.25034154
1,51,0.068210316,0.01187907,0.463723874,47.25558931
1,38,0.031949221,0.025880532,0.515926236,68.73937643
1,3,0.079370892,0.018451025,0.525084537,46.47615951
1,26,0.047322633,0.017204214,0.53559449,60.96302512
1,38,0.030979989,0.007112598,0.557713704,70.76001184
1,1,0.035141198,0.001831663,0.571542394,68.87742132
1,15,0.023112908,0.000545092,0.589326162,76.15688629
1,1,0.056889612,0.011708435,0.605285035,59.43624294
1,1,0.016848742,0.008040906,0.611094923,80.17183859
1,15,0.101942381,0.007317308,0.644506645,45.17762451
1,6,0.020174861,0.011859412,0.686644926,79.54031902
1,4,0.004801029,0,0.786592742,87.80378869
1,31,0.036509876,0.012359487,0.871166214,75.24757712
1,0,0.059696869,0.013033561,0.897812021,67.32588046
1,13,0.08215858,0.023260183,1.339361935,68.92231331
1,4,0.071012657,0.012829457,1.351661335,71.7318563
2,3,0.021602888,0.007563307,0.151893747,48.21546077
2,7,0.036349263,0.010899406,0.594769469,68.99340542
2,7,0.037076418,0.014713606,0.641788721,70.04999423
2,20,0.039779681,0.004463255,0.364962359,55.59485243
2,26,0.073886574,0.057842029,0.439415832,43.42624655
2,45,0.028629875,0.008234896,0.561905364,72.24819787
2,45,0.015101569,0.002229326,0.401699604,76.7097003
2,48,0.040163424,0.003451332,0.520252369,64.12377634
2,64,0.06261518,0.011505289,0.605953665,57.00586178
2,66,0.095315662,0.019159165,0.671713009,48.28043842
2,69,0.048536155,0.018397122,0.327680531,47.05667051
2,71,0.027858435,0.008494838,0.286597368,58.58544766
2,77,0.063274297,0.009704902,0.487926788,50.82675433
2,78,0.044784526,0.007422255,0.471626507,59.17816559
2,78,0.04738518,0.012710226,0.524680169,60.42724781
2,80,0.069910075,0.02180416,0.353725516,38.84378784
2,83,0.05418574,0.00656057,0.371304469,47.48145265
2,83,0.017493062,0.005144205,0.423699227,75.4574101
2,87,0.064338198,0.017602646,0.744525616,61.49973887
2,90,0.072956964,0.029979567,0.556759269,50.5340107
2,91,0.040411946,0.018143293,0.49171023,62.68848401
2,91,0.05571575,0.01592237,0.769556604,65.53914514
2,91,0.063604516,0.013264586,0.553105281,54.15050068
3,1,0.025686374,0.021008026,0.34802453,65.12104671
3,1,0.004000112,0.003468696,0.174636814,81.81031897
3,2,0.019100203,0.008308181,0.419313352,74.02854575
3,6,0.011501167,0.009446061,0.233627395,72.81248795
3,7,0.024892871,0.013894843,0.327084901,64.44365429
3,12,0.02766125,0.01898137,0.556786554,72.66426189
3,14,0.030721882,0.022259109,0.316880178,58.65182622
3,16,0.016592682,0.013883752,0.327244168,72.32893111
3,23,0.051734724,0.03025674,0.334117259,45.78730931
3,28,0.008423432,0.006381772,0.335028809,81.02291858
3,30,0.019332413,0.023722763,0.344489381,70.57702756
3,30,0.024966736,0.015881964,0.372492331,67.16219734
3,30,0.018526601,0.013204791,0.280678197,67.47467881
3,32,0.011572281,0.005569618,0.285586237,75.71586939
3,32,0.005487848,0.003297244,0.325024878,83.9442688
3,33,0.020554831,0.011403123,0.281302287,65.33948325
3,33,0.01538389,0.015004757,0.28149679,71.04865111
3,34,0.015261074,0.007709022,0.313166176,72.97596839
3,35,0.019698003,0.010490578,0.339741197,69.98354335
3,37,0.017345708,0.009663481,0.20137572,61.57736117
3,38,0.054380189,0.021242021,0.450299392,52.8092879
3,40,0.0474958,0.03464083,0.473580523,57.78308078
3,42,0.036937008,0.022970263,0.271696885,49.49621971
3,43,0.03547977,0.025539261,0.421668617,62.1356779
3,45,0.029093658,0.047138052,0.286902571,57.49662658
3,46,0.017949701,0.013975929,0.310012444,70.00881389
3,47,0.01773024,0.018076469,0.224044889,63.5619455
3,48,0.01773024,0.018076469,0.314027614,70.46768326
4,6,0.080132319,0.034024434,0.53399067,46.68415652
4,10,0.098419929,0.028108234,0.706476846,48.80381444
4,10,0.113274637,0.049199834,0.766971161,47.13963396
4,13,0.104979302,0.040284362,0.580398121,41.34514545
4,15,0.110778951,0.044405763,0.565494903,39.09180621
4,17,0.075535748,0.022119304,0.597775393,51.55210382
4,18,0.147898939,0.023194142,0.875492176,43.29302242
4,29,0.07248054,0.010612676,0.511471128,48.31845809
4,29,0.061041093,0.008326317,0.578201385,56.44289054
5,0,0.074267205,0.006868906,0.418957973,41.91840727
5,0,0.045051157,0.008394348,0.473670423,59.13752108
5,1,0.042905315,0.005565186,0.356235406,52.8832933
5,7,0.059231093,0.007258699,0.385006518,45.97202467
5,11,0.070841567,0.011103054,0.46381896,46.17913791
